,path length,curvature cost,pathing time,planning time,map,Orientation Bias
1,96.62222363577172,1.330277114533196,171.49999999999997,13.630036115646362,1,0.3141592653589793
1,57.245555436808054,0.8869524856116192,101.20000000000005,12.20772123336792,2,0.3141592653589793
2,97.78748717591779,1.6271257647649864,168.50000000000009,15.422699213027954,1,0.6283185307179586
2,57.92071198028929,1.1080122248478006,104.60000000000001,17.81825089454651,2,0.6283185307179586
3,98.47261941536237,2.738466984550028,179.40000000000003,18.793656587600708,1,0.9424777960769379
3,57.26992388647421,1.5117772036627837,110.30000000000004,15.072576761245728,2,0.9424777960769379
4,88.11001824834887,4.137407028126198,185.50000000000003,21.59673833847046,1,1.2566370614359172
4,58.265909783356314,1.5700855612476865,106.50000000000003,15.042964935302734,2,1.2566370614359172
5,98.13417843667955,5.508474772720246,193.5,32.162463665008545,1,1.5707963267948966
5,58.53988479031931,2.29918877425798,114.00000000000001,17.637069940567017,2,1.5707963267948966
6,97.17530458383897,5.881026350504658,208.00000000000003,21.576812505722046,1,1.8849555921538759
6,57.77519239851424,2.308189374820768,116.00000000000003,19.70555877685547,2,1.8849555921538759
7,99.28901995907646,6.096211285569305,204.19999999999996,19.41210627555847,1,2.199114857512855
7,61.119928479794225,6.502046596566585,126.09999999999997,25.756682634353638,2,2.199114857512855
8,100.38082661221881,6.9124806034298185,203.30000000000004,67.42838144302368,1,2.5132741228718345
8,58.39287762724258,4.2953258388839535,120.69999999999999,14.408319234848022,2,2.5132741228718345
9,101.26654605137206,9.677986501198617,211.69999999999993,36.637856006622314,1,2.827433388230814
9,59.56660681158127,4.597401766645723,126.60000000000002,13.313783884048462,2,2.827433388230814
10,100.18694346795347,10.436709849117003,203.19999999999996,22.145413160324097,1,3.141592653589793
10,58.91016020278455,4.264225770074673,121.60000000000001,63.02029466629028,2,3.141592653589793
