,path length,curvature cost,pathing time,planning time,map,Orientation Deviation Weight
1,94.65201369961272,1.5491745161259014,169.80000000000004,16.861576795578003,1,0.2
1,56.46029510885387,0.8029631564171157,94.80000000000005,11.178363800048828,2,0.2
2,97.63875647717283,2.198472871334225,178.70000000000002,19.2907977104187,1,0.4
2,58.23041871576828,0.7689213104433669,105.70000000000002,14.53987455368042,2,0.4
3,96.68842119741565,1.283090693055637,170.2,17.575687408447266,1,0.6
3,56.880546668718836,0.9850657650725112,96.70000000000002,15.311678886413574,2,0.6
4,96.68048100936298,1.343635998775925,166.50000000000003,20.134531259536743,1,0.8
4,55.401533757154624,0.9529816515589066,96.60000000000002,13.398869276046753,2,0.8
5,96.45258933918204,1.5101188151198546,168.10000000000008,22.08535885810852,1,1.0
5,56.39482448649541,0.7267663914954677,92.40000000000002,14.387591361999512,2,1.0
6,94.78373301676181,1.4905560621312628,165.60000000000002,16.65631127357483,1,1.2
6,58.529314921702834,1.1453314398410102,106.70000000000003,15.53547191619873,2,1.2
7,95.59225575590374,1.400457659830157,165.0,18.62509036064148,1,1.4
7,59.061003974263315,0.9008202338547696,109.90000000000002,17.92700457572937,2,1.4
8,98.24922745408793,1.9557267671044043,179.2,18.697542428970337,1,1.6
8,56.4657863671786,0.8790867002717202,105.40000000000002,17.79002356529236,2,1.6
9,98.12053479780425,1.8199394719437838,185.60000000000008,21.428348541259766,1,1.8
9,57.11199222228315,0.8843534603485491,103.40000000000002,12.79631519317627,2,1.8
10,96.4464290023575,1.4047208899735377,167.5,16.638448476791382,1,2.0
10,56.85405943755975,1.6044170629979266,107.60000000000004,19.339527130126953,2,2.0
