,path length,curvature cost,pathing time,planning time,map,Trajectory Curvature Weight
1,95.35208929526787,1.8991025844570777,173.50000000000006,14.018955707550049,1,2
1,57.66763817780843,1.1048281662761754,101.00000000000004,58.13589906692505,2,2
2,95.3579989837841,1.5526348725217187,168.00000000000003,14.868253946304321,1,4
2,56.88062783175277,0.8966390236965215,96.60000000000002,10.696438789367676,2,4
3,98.14000491044673,1.9853873256411094,178.80000000000004,15.641980171203613,1,6
3,55.26441401535324,0.9477884823431785,96.70000000000002,10.506638526916504,2,6
4,95.87888111795074,1.5366639478804285,163.50000000000003,15.52210545539856,1,8
4,58.1583568957655,0.7976469784627304,97.60000000000002,12.473371028900146,2,8
5,95.74323771703847,1.344789506770216,162.6,19.306271076202393,1,10
5,56.19770792386107,0.9664822580091711,100.00000000000004,12.728267908096313,2,10
6,96.02488326046704,1.5609166756926438,166.00000000000003,22.149325609207153,1,12
6,56.663626424343015,0.6081005668221591,100.40000000000003,14.035977125167847,2,12
7,96.84748173460194,1.3874497972805728,162.90000000000006,18.50645351409912,1,14
7,57.76942329856453,0.7442744953375847,99.60000000000001,17.325429916381836,2,14
8,96.54061653242192,1.5655959304925713,166.4000000000001,16.673661947250366,1,16
8,56.070053228129964,1.2929748934075223,101.10000000000004,78.89890766143799,2,16
9,96.82512039692811,1.6720072974113003,176.10000000000005,16.402859449386597,1,18
9,57.84705193185914,0.9636898397000624,99.00000000000003,13.163524866104126,2,18
10,94.58675846161363,1.3000511520025129,157.60000000000002,19.358279705047607,1,20
10,56.48256520036099,0.9729139217801205,99.60000000000004,17.55815887451172,2,20
