,path length,curvature cost,pathing time,planning time,map,Trajectory Length Weight
1,95.91317215641709,1.8121997471418607,162.00000000000003,36.29930543899536,1,0.2
1,56.83430821751318,0.8497473090240529,96.30000000000004,47.73395371437073,2,0.2
2,95.34193683124937,1.1380621404534899,169.70000000000005,35.61049509048462,1,0.4
2,56.34650375549525,0.8842399989791597,106.80000000000003,25.872445106506348,2,0.4
3,95.26653663011591,1.7296544165421257,169.7,32.564892053604126,1,0.6
3,56.80432220641582,0.8397201918832153,97.50000000000003,27.865156650543213,2,0.6
4,96.03966617911026,1.3783378062928446,158.50000000000006,38.886353492736816,1,0.8
4,57.3050910903564,1.4432223154396477,107.7,28.319765329360962,2,0.8
5,97.66804258870154,1.288172955110162,163.70000000000007,30.706308841705322,1,1.0
5,57.01188058977287,1.1429576592715196,101.60000000000002,53.162428855895996,2,1.0
6,97.47176997176078,1.728309007962806,173.70000000000005,37.69086170196533,1,1.2
6,56.0408033968122,0.8186052679113417,97.70000000000005,36.311880111694336,2,1.2
7,97.74186265763558,1.8230450659346629,165.6000000000001,40.57485485076904,1,1.4
7,58.04305045860402,1.2098239594785256,105.50000000000003,52.642534017562866,2,1.4
8,96.92526224794071,1.8126675115202007,181.80000000000004,39.14907717704773,1,1.6
8,57.897237189948584,0.7933127941049307,96.00000000000003,48.14604425430298,2,1.6
9,96.8932545591206,1.5546433993328255,166.90000000000003,36.97675943374634,1,1.8
9,57.1869583580355,1.201942766430633,101.30000000000003,30.79876708984375,2,1.8
10,96.40233135980502,1.8272444916197643,178.0,35.99572777748108,1,2.0
10,56.360085746491656,1.2431605654241995,104.90000000000005,26.743026733398438,2,2.0
