,path length,curvature cost,pathing time,planning time,map,sample intervals
1,95.67011247894611,1.6264732580756212,172.60000000000005,19.168824195861816,1,1
1,56.582492363906496,0.8938314250131596,100.50000000000003,14.157449722290039,2,1
2,94.8549183233366,1.3389718687847254,169.50000000000006,18.609625816345215,1,2
2,56.517505169168125,1.2161982874106672,103.50000000000003,15.000243425369263,2,2
3,96.1843047588745,1.3391974349059887,160.00000000000003,20.325462818145752,1,3
3,56.90658709514057,0.8846380099100798,98.30000000000001,21.485463857650757,2,3
4,96.17879931449906,1.8286636025172642,181.70000000000005,22.36630415916443,1,4
4,55.83152198342736,0.9116702950714287,100.40000000000003,19.092124223709106,2,4
5,98.10778910618697,2.226406765746886,178.60000000000014,21.85740065574646,1,5
5,57.438326010139036,1.1059115842848777,111.30000000000005,25.05653166770935,2,5
6,96.09306382515416,1.616470415942001,161.50000000000006,32.691397190093994,1,6
6,58.171129850739234,1.0113010803485876,96.30000000000004,14.930450677871704,2,6
7,98.4434279199571,2.12877562272,176.50000000000009,32.8203911781311,1,7
7,57.65766558307244,0.8944669710505573,104.60000000000004,48.52765679359436,2,7
8,99.56607664522127,2.254857214699942,183.10000000000002,20.610596179962158,1,8
8,56.26642643764958,1.2563365958562813,109.70000000000005,58.57185411453247,2,8
9,99.8162297958596,2.3450940027922065,189.80000000000004,46.507893085479736,1,9
9,60.31467302931698,1.5587245965861931,114.60000000000001,18.25033473968506,2,9
10,99.60684993342089,2.085285185993671,185.9,29.326852083206177,1,10
10,59.591389040184964,1.3224995248529412,110.00000000000004,19.693745374679565,2,10
